2086,FRENCHS FOREST,NSW,-33:44:25,-151:11:58
2087,KILLARNEY HEIGHTS,NSW,-33:45:44,-151:13:6
2088,THE SPIT,NSW,-33:49:30,-151:14:30
2089,NEUTRAL BAY JUNCTION,NSW,-33:49:57,-151:13:6
2090,CREMORNE,NSW,-33:49:50,-151:13:8
2092,SEAFORTH,NSW,-33:47:33,-151:14:22
2093,MANLY VALE,NSW,-33:47:42,-151:15:43
2094,FAIRLIGHT,NSW,-33:47:50,-151:16:6
2095,MANLY,NSW,-33:48:6,-151:16:45
2096,QUEENSCLIFF,NSW,-33:46:52,-151:17:29
2097,WHEELER HEIGHTS,NSW,-33:43:51,-151:17:29
2099,WINGALA,NSW,-33:44:12,-151:17:5
2100,WARRINGAH MALL,NSW,-33:45:10,-151:14:45
2101,NARRABEEN,NSW,-33:43:11,-151:17:49
2102,WARRIEWOOD,NSW,-33:41:49,-151:18:20
2103,MONA VALE,NSW,-33:40:46,-151:17:33
2104,BAYVIEW,NSW,,
2105,SCOTLAND ISLAND,NSW,-33:38:49,-151:16:52
2106,NEWPORT BEACH,NSW,-33:39:28,-151:18:17
2107,WHALE BEACH,NSW,-33:38:39,-151:18:56
2108,THE BASIN,NSW,-33:35:36,-151:19:25
2109,MACQUARIE UNIVERSITY,NSW,-33:46:37,-151:6:27
2110,WOOLWICH,NSW,-33:49:29,-151:9:0
2111,TENNYSON POINT,NSW,-33:49:59,-151:7:31
2112,RYDE,NSW,-33:49:18,-151:7:9
2113,NORTH RYDE,NSW,-33:47:51,-151:8:34
2114,WEST RYDE,NSW,-33:48:45,-151:5:51
2115,ERMINGTON,NSW,-33:49:2,-151:4:2
2116,RYDALMERE,NSW,-33:48:45,-151:2:17
2117,TELOPEA,NSW,-33:47:45,-151:2:24
2118,KINGSDENE,NSW,-33:47:4,-151:2:40
2119,CHELTENHAM,NSW,-33:44:37,-151:03:20
2120,WESTLEIGH,NSW,-33:43:50,-151:3:57
2121,EPPING,NSW,-33:46:31,-151:4:56
2122,MARSFIELD,NSW,-33:47:50,-151:4:39
2123,PARRAMATTA,NSW,-33:48:57,-150:59:56
2125,WEST PENNANT HILLS,NSW,-33:44:56,-151:02:54
2126,CHERRYBROOK,NSW,-33:43:1,-151:2:60
2127,NEWINGTON,NSW,,
2128,SILVERWATER,NSW,,
2130,SUMMER HILL,NSW,-33:53:40,-151:8:32
2131,ASHFIELD,NSW,-33:52:57,-151:7:52
2132,CROYDON,NSW,-33:53:7,-151:6:54
2133,ENFIELD SOUTH,NSW,-33:54:3,-151:6:19
2134,BURWOOD,NSW,-33:52:48,-151:6:17
2135,STRATHFIELD,NSW,-33:52:25,-151:05:47
2136,STRATHFIELD SOUTH,NSW,-33:53:19,-151:5:31
2137,NORTH STRATHFIELD,NSW,-33:50:57,-151:6:49
2138,RHODES,NSW,-33:51:10,-151:5:12
2139,CONCORD REPATRIATION HOSPITAL,NSW,-33:50:16,-151:5:34
2140,STRATHFIELD WEST,NSW,-33:51:34,-151:4:41
2141,LIDCOMBE,NSW,-33:49:53,-151:2:54
2142,ROSEHILL,NSW,-33:49:11,-151:2:24
2143,REGENTS PARK,NSW,-33:53:8,-151:0:57
2144,AUBURN,NSW,-33:50:44,-151:2:20
2145,WESTMEAD,NSW,-33:49:14,-150:59:16
2146,TOONGABBIE EAST,NSW,-33:46:56,-150:56:51
2147,SEVEN HILLS WEST,NSW,-33:46:8,-150:57:3
2148,PROSPECT,NSW,-33:45:31,-150:54:17
2150,PARRAMATTA,NSW,-33:48:56,-151:0:26
2151,NORTH ROCKS,NSW,-33:46:15,-151:1:33
2152,NORTHMEAD,NSW,-33:47:49,-150:59:48
2153,WINSTON HILLS,NSW,-33:46:3,-150:57:25
2154,CASTLE HILL,NSW,-33:44:6,-151:0:6
2155,ROUSE HILL,NSW,-33:43:23,-150:55:52
2156,KENTHURST,NSW,-33:40:59,-151:0:29
2157,GLENORIE,NSW,-33:36:5,-150:58:29
2158,ROUND CORNER,NSW,-33:42:10,-151:2:57
2159,GALSTON,NSW,-33:30:23,-151:3:16
2160,MERRYLANDS WEST,NSW,-33:50:12,-150:59:9
2161,YENNORA,NSW,-33:52:06,-151:00:19
2162,SEFTON,NSW,-33:52:24,-151:0:23
2163,VILLAWOOD,NSW,-33:53:23,-150:58:1
2164,WETHERILL PARK,NSW,-33:49:32,-150:52:01
2165,FAIRFIELD WEST,NSW,-33:52:14,-150:58:21
2166,LANSVALE,NSW,-33:53:30,-150:56:20
2167,GLENFIELD,NSW,-33:58:36,-150:53:54
2168,SADLEIR,NSW,-33:54:07,-150:51:18
2170,WARWICK FARM,NSW,-33:55:49,-150:53:15
2171,WEST HOXTON,NSW,-33:54:40,-150:49:30
2173,WATTLE GROVE,NSW,-33:58:45,-150:55:29
2176,WAKELEY,NSW,-33:51:52,-150:51:15
2177,BONNYRIGG HEIGHTS,NSW,-33:53:12,-150:53:25
2190,MOUNT LEWIS,NSW,-33:54:19,-151:3:48
2191,BELFIELD,NSW,-33:54:27,-151:5:17
2192,BELMORE,NSW,-33:54:39,-151:4:34
2193,HURLSTONE PARK,NSW,-33:54:42,-151:7:53
2194,CAMPSIE,NSW,-33:55:35,-151:5:55
2195,WILEY PARK,NSW,-33:55:22,-151:04:47
2196,ROSELANDS,NSW,-33:55:46,-151:4:46
2197,BASS HILL,NSW,-33:54:7,-150:59:49
2198,GEORGES HALL,NSW,-33:54:50,-150:58:51
2199,YAGOONA,NSW,-33:54:31,-151:1:23
2200,MANAHAN,NSW,-33:55:48,-150:59:14
2203,DULWICH HILL,NSW,-33:54:23,-151:7:46
2204,MARRICKVILLE SOUTH,NSW,-33:54:28,-151:10:15
2205,TURRELLA,NSW,-33:56:7,-151:8:54
2206,UNDERCLIFFE,NSW,-33:55:41,-151:7:33
2207,BEXLEY SOUTH,NSW,-33:57:15,-151:7:13
2208,KINGSGROVE,NSW,-33:56:11,-151:5:55
2209,NARWEE,NSW,-33:57:14,-151:3:50
2210,RIVERWOOD,NSW,-33:57:56,-151:3:51
2211,PADSTOW,NSW,-33:56:36,-151:2:4
2212,REVESBY NORTH,NSW,-33:56:25,-151:1:2
2213,PICNIC POINT,NSW,-33:57:23,-150:59:51
2214,MILPERRA,NSW,-33:56:28,-150:59:26
2216,ROCKDALE,NSW,-33:57:3,-151:8:17
2217,RAMSGATE BEACH,NSW,-33:57:55,-151:8:0
2218,CARLTON,NSW,-33:58:50,-151:07:13
2219,SANS SOUCI,NSW,-33:59:36,-151:8:31
2220,HURSTVILLE,NSW,-33:58:12,-151:06:08
2221,SOUTH HURSTVILLE,NSW,-33:58:45,-151:6:48
2222,PENSHURST,NSW,-33:57:60,-151:5:35
2223,OATLEY,NSW,-33:58:36,-151:4:39
2224,SYLVANIA WATERS,NSW,-34:1:15,-151:6:16
2226,JANNALI,NSW,-34:0:26,-151:4:2
2227,GYMEA,NSW,-34:2:4,-151:4:59
2228,YOWIE BAY,NSW,-34:2:15,-151:6:1
2229,TAREN POINT,NSW,-34:1:13,-151:7:27
2230,WOOLOOWARE,NSW,-34:4:43,-151:8:42
2231,KURNELL,NSW,-34:0:10,-151:12:28
2232,WORONORA,NSW,-34:01:56,-151:03:35
2233,YARRAWARRAH,NSW,-34:10:18,-151:3:58
2234,MENAI CENTRAL,NSW,-34:3:7,-150:58:42
2250,WENDOREE PARK,NSW,-33:29:2,-151:10:8
2251,YATTALUNGA,NSW,-33:27:8,-151:28:0
